,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
112,Lou Williams,30,2TM,SG,81,1,1994,0.429,15.6,0.553,0.207,0.172,0.113,0.062,0.447,0.48,0.614,0.424,0.363,0.371,0.365,0.245,0.601,0.007,7,0.193,0.477,2,1,6MOY-3
112,Lou Williams,30,LAL,SG,58,1,1403,0.444,15.2,0.568,0.204,0.187,0.117,0.064,0.432,0.489,0.647,0.423,0.36,0.383,0.385,0.225,0.557,0.007,5,0.167,0.509,1,1,
112,Lou Williams,30,HOU,SG,23,0,591,0.386,15.9,0.511,0.216,0.133,0.102,0.057,0.489,0.452,0.526,0.429,0.37,0.333,0.318,0.311,0.732,0.008,2,0.256,0.424,1,0,
113,Taj Gibson,31,2TM,PF,78,71,1989,0.515,6.9,0.982,0.423,0.283,0.142,0.131,0.018,0.52,0.677,0.448,0.376,0.333,0.231,0.657,0.667,0.096,63,0.846,0.182,1,1,
113,Taj Gibson,31,CHI,PF,55,55,1502,0.521,7,0.977,0.419,0.287,0.14,0.13,0.023,0.529,0.68,0.454,0.405,0.348,0.167,0.664,1,0.085,43,0.917,0.182,0,0,
113,Taj Gibson,31,OKC,PF,23,16,487,0.497,6.8,0.994,0.436,0.274,0.151,0.134,0.006,0.494,0.667,0.429,0.296,0.292,1,0.636,0,0.128,20,0,,1,1,
114,Matthew Dellavedova,26,MIL,PG,76,54,1986,0.39,15.1,0.597,0.15,0.266,0.101,0.077,0.403,0.404,0.4,0.43,0.389,0.366,0.367,0.31,0.861,0,0,0.144,0.355,0,0,
115,Malcolm Brogdon,24,MIL,SG,75,28,1982,0.457,11.6,0.696,0.406,0.118,0.083,0.088,0.304,0.48,0.562,0.333,0.396,0.375,0.404,0.415,0.897,0.039,24,0.244,0.489,1,0,"ROY-1,6MOY-11"
116,Joe Ingles,29,UTA,SF,82,26,1972,0.452,18.1,0.381,0.182,0.073,0.04,0.086,0.619,0.471,0.671,0.333,0.222,0.282,0.441,0.37,0.821,0.009,4,0.355,0.424,1,0,
117,Rodney McGruder,25,MIA,SG,78,65,1966,0.413,15.2,0.522,0.215,0.185,0.059,0.061,0.478,0.488,0.707,0.341,0.296,0.321,0.332,0.47,0.986,0.028,12,0.541,0.345,2,0,ROY-8
118,Kent Bazemore,27,ATL,SF,73,64,1963,0.409,14.8,0.631,0.272,0.1,0.062,0.198,0.369,0.446,0.566,0.222,0.311,0.434,0.346,0.522,0.848,0.021,13,0.327,0.414,1,0,
119,Ish Smith,28,DET,PG,81,32,1955,0.439,11.8,0.86,0.294,0.171,0.142,0.252,0.14,0.467,0.573,0.328,0.491,0.429,0.267,0.116,0.75,0.005,4,0.229,0.417,2,0,
120,Terrence Ross,25,2TM,SF,78,24,1955,0.437,18.9,0.476,0.105,0.088,0.113,0.168,0.524,0.518,0.654,0.515,0.464,0.48,0.363,0.511,0.859,0.044,29,0.215,0.345,3,0,
120,Terrence Ross,25,TOR,SF,54,0,1207,0.441,18.9,0.466,0.115,0.081,0.106,0.159,0.534,0.516,0.673,0.538,0.431,0.461,0.375,0.435,0.823,0.052,22,0.242,0.387,2,0,
120,Terrence Ross,25,ORL,SF,24,24,748,0.431,19,0.494,0.086,0.101,0.124,0.184,0.506,0.523,0.609,0.481,0.515,0.51,0.341,0.638,0.935,0.03,7,0.163,0.227,1,0,
121,Frank Kaminsky,23,CHO,C,75,16,1954,0.399,15.1,0.559,0.214,0.213,0.074,0.056,0.441,0.455,0.587,0.427,0.305,0.267,0.328,0.627,1,0.015,12,0.11,0.359,4,0,
122,Jon Leuer,27,DET,PF,75,34,1944,0.48,12.9,0.741,0.263,0.15,0.181,0.149,0.259,0.545,0.788,0.423,0.453,0.354,0.293,0.739,1,0.051,30,0.228,0.289,0,0,
123,Iman Shumpert,26,CLE,SG,76,31,1937,0.411,18.3,0.466,0.151,0.049,0.065,0.198,0.534,0.469,0.622,0.125,0.375,0.474,0.36,0.346,0.883,0.031,11,0.429,0.384,0,0,
124,Chris Paul,31,LAC,PG,61,61,1921,0.476,18.1,0.615,0.074,0.07,0.21,0.261,0.385,0.518,0.603,0.564,0.497,0.498,0.411,0.124,0.395,0,0,0.103,0.484,1,0,DEF1
125,Tony Allen,35,MEM,SG,71,66,1914,0.461,5.6,0.909,0.652,0.166,0.03,0.061,0.091,0.479,0.557,0.273,0.333,0.278,0.278,0.552,1,0.027,16,0.704,0.316,0,0,DEF2
126,Buddy Hield,24,2TM,SG,82,55,1888,0.426,16.9,0.506,0.197,0.091,0.1,0.117,0.494,0.461,0.55,0.414,0.442,0.367,0.391,0.436,0.791,0.012,9,0.169,0.469,1,0,ROY-4
126,Buddy Hield,24,NOP,SG,57,37,1161,0.393,16.8,0.488,0.246,0.068,0.062,0.113,0.512,0.417,0.517,0.219,0.276,0.396,0.369,0.49,0.82,0.011,5,0.141,0.441,1,0,
126,Buddy Hield,24,SAC,SG,25,18,727,0.48,17,0.534,0.118,0.128,0.162,0.125,0.466,0.525,0.657,0.579,0.542,0.324,0.428,0.373,0.746,0.014,4,0.217,0.5,0,0,
127,Kevin Love,28,CLE,PF,60,60,1885,0.427,15.3,0.551,0.212,0.156,0.099,0.084,0.449,0.471,0.56,0.415,0.43,0.397,0.373,0.551,0.986,0.014,12,0.355,0.413,0,0,AS
128,DeMarre Carroll,30,TOR,SF,72,72,1882,0.4,17.5,0.418,0.169,0.133,0.044,0.073,0.582,0.483,0.634,0.37,0.375,0.4,0.341,0.586,0.954,0.011,6,0.322,0.388,1,0,
129,Joe Johnson,35,UTA,SF,78,14,1843,0.436,16.5,0.588,0.077,0.224,0.126,0.157,0.412,0.454,0.708,0.457,0.405,0.378,0.411,0.15,0.858,0,0,0.326,0.44,1,1,
130,Rajon Rondo,30,CHI,PG,69,42,1843,0.408,11.9,0.763,0.351,0.152,0.061,0.2,0.237,0.418,0.497,0.459,0.147,0.33,0.376,0.251,0.94,0.002,1,0.481,0.438,0,0,
131,Avery Bradley,26,BOS,SG,55,55,1835,0.463,15.1,0.643,0.27,0.076,0.066,0.231,0.357,0.504,0.622,0.356,0.529,0.408,0.39,0.614,0.815,0.031,23,0.296,0.39,1,0,
132,Greg Monroe,26,MIL,C,81,0,1823,0.533,4.5,0.994,0.569,0.303,0.055,0.066,0.006,0.536,0.62,0.414,0.475,0.438,0,0.581,,0.029,19,0,,2,0,6MOY-6
133,E'Twaun Moore,27,NOP,SG,73,22,1820,0.457,14.4,0.664,0.192,0.199,0.139,0.137,0.336,0.501,0.681,0.488,0.36,0.4,0.37,0.422,0.883,0.01,6,0.351,0.397,0,0,
134,D'Angelo Russell,20,LAL,PG,63,60,1811,0.405,16.9,0.557,0.146,0.131,0.125,0.153,0.443,0.447,0.559,0.465,0.352,0.406,0.352,0.259,0.637,0.005,4,0.133,0.451,3,0,
135,Danny Green,29,SAS,SG,68,68,1807,0.392,19.9,0.307,0.111,0.071,0.053,0.071,0.693,0.42,0.54,0.406,0.208,0.406,0.379,0.586,0.924,0.009,3,0.315,0.429,2,0,DEF2
136,Brandon Jennings,27,2TM,PG,81,13,1802,0.359,16.9,0.529,0.215,0.099,0.099,0.116,0.471,0.399,0.496,0.245,0.434,0.323,0.313,0.177,0.506,0,0,0.179,0.378,2,0,
136,Brandon Jennings,27,NYK,PG,58,11,1428,0.38,16.1,0.534,0.228,0.096,0.096,0.114,0.466,0.415,0.51,0.268,0.415,0.347,0.34,0.2,0.485,0,0,0.18,0.444,2,0,
136,Brandon Jennings,27,WAS,PG,23,2,374,0.274,17.6,0.509,0.16,0.113,0.113,0.123,0.491,0.333,0.412,0.167,0.5,0.231,0.212,0.056,0.636,0,0,0.173,0.111,0,0,
137,Vince Carter,40,MEM,SF,73,15,1799,0.394,18.4,0.396,0.182,0.092,0.047,0.076,0.604,0.418,0.483,0.444,0.174,0.378,0.378,0.432,0.875,0.022,10,0.193,0.351,2,0,6MOY-11
138,Bismack Biyombo,24,ORL,C,81,27,1793,0.528,4,1,0.581,0.319,0.077,0.029,0,0.528,0.68,0.324,0.346,0.1,,0.816,,0.23,69,,,0,0,
139,Dwyane Wade,35,CHI,SG,60,59,1792,0.434,12.3,0.848,0.25,0.16,0.206,0.232,0.152,0.456,0.569,0.425,0.431,0.374,0.31,0.328,0.644,0.036,29,0.145,0.476,0,0,
140,Luc Mbah a Moute,30,LAC,SF,80,76,1787,0.505,11.9,0.709,0.45,0.048,0.016,0.196,0.291,0.552,0.624,0.167,0.333,0.5,0.391,0.811,0.977,0.074,25,0.745,0.415,0,0,
141,Zach Randolph,35,MEM,PF,73,5,1786,0.449,10.3,0.902,0.293,0.283,0.111,0.214,0.098,0.474,0.61,0.447,0.421,0.354,0.223,0.478,1,0.005,5,0.138,0.308,5,0,6MOY-4
142,Gary Harris,22,DEN,SG,57,56,1782,0.502,13.2,0.6,0.383,0.096,0.042,0.077,0.4,0.558,0.656,0.361,0.444,0.388,0.42,0.662,0.972,0.066,38,0.239,0.557,3,0,
143,Marco Belinelli,30,CHO,SG,74,0,1778,0.429,18.7,0.54,0.132,0.052,0.052,0.306,0.46,0.488,0.667,0.344,0.469,0.436,0.36,0.679,0.853,0.003,1,0.145,0.463,1,0,
144,Matt Barnes,36,2TM,SF,74,18,1777,0.391,16.8,0.444,0.22,0.114,0.032,0.08,0.556,0.467,0.577,0.389,0.133,0.395,0.331,0.735,0.897,0.019,7,0.255,0.388,2,0,
144,Matt Barnes,36,SAC,SF,54,13,1367,0.384,16.8,0.449,0.209,0.133,0.031,0.078,0.551,0.453,0.563,0.412,0.083,0.367,0.327,0.705,0.884,0.021,7,0.223,0.362,2,0,
144,Matt Barnes,36,GSW,SF,20,5,410,0.422,16.9,0.422,0.267,0.033,0.033,0.089,0.578,0.526,0.625,0,0.333,0.5,0.346,0.85,0.944,0.011,0,0.385,0.45,0,0,
145,C.J. Miles,29,IND,SF,76,29,1776,0.434,19.6,0.368,0.127,0.07,0.043,0.128,0.632,0.471,0.634,0.4,0.464,0.349,0.413,0.571,0.953,0.017,8,0.308,0.508,1,0,
146,Al-Farouq Aminu,26,POR,PF,61,25,1773,0.393,14,0.545,0.32,0.135,0.03,0.06,0.455,0.445,0.53,0.302,0.357,0.357,0.33,0.46,1,0.058,24,0.358,0.355,3,0,
147,Jamal Murray,19,DEN,SG,82,10,1764,0.404,16.5,0.529,0.226,0.096,0.09,0.116,0.471,0.466,0.612,0.357,0.379,0.341,0.334,0.483,0.713,0.026,17,0.218,0.413,8,0,ROY-5
148,Rondae Hollis-Jefferson,22,BRK,SF,78,50,1761,0.434,8,0.876,0.483,0.181,0.138,0.072,0.124,0.463,0.584,0.296,0.347,0.308,0.224,0.518,0.933,0.076,37,0.358,0.208,1,0,
149,Patty Mills,28,SAS,PG,80,8,1754,0.44,19.2,0.428,0.148,0.027,0.027,0.23,0.572,0.474,0.641,0.294,0.412,0.385,0.414,0.54,0.823,0,0,0.276,0.459,0,0,6MOY-8
150,Trevor Booker,29,BRK,PF,71,43,1754,0.516,7.8,0.868,0.45,0.281,0.058,0.08,0.132,0.546,0.658,0.476,0.324,0.319,0.321,0.45,0.84,0.066,35,0.295,0.261,0,0,
151,Sean Kilpatrick,27,BRK,SG,70,24,1754,0.415,14.8,0.581,0.273,0.143,0.067,0.097,0.419,0.468,0.582,0.362,0.286,0.423,0.341,0.43,0.752,0.007,5,0.211,0.338,7,0,
152,Kyle Korver,35,2TM,SG,67,22,1753,0.464,22,0.303,0.041,0.019,0.047,0.196,0.697,0.494,0.667,0.5,0.292,0.505,0.451,0.909,0.975,0.002,1,0.267,0.51,0,0,
152,Kyle Korver,35,ATL,SG,32,21,894,0.439,21.3,0.354,0.057,0.024,0.033,0.24,0.646,0.494,0.643,0.333,0.375,0.492,0.409,0.884,0.985,0,0,0.17,0.519,0,0,
152,Kyle Korver,35,CLE,SG,35,1,859,0.487,22.6,0.257,0.026,0.015,0.059,0.156,0.743,0.493,0.714,0.75,0.25,0.524,0.485,0.941,0.969,0.004,1,0.345,0.507,0,0,
153,Zach LaVine,21,MIN,SG,47,47,1749,0.459,15.7,0.563,0.272,0.061,0.049,0.182,0.437,0.515,0.637,0.419,0.343,0.411,0.387,0.466,0.808,0.051,36,0.235,0.438,0,0,
154,Marquese Chriss,19,PHO,PF,82,75,1743,0.449,11.8,0.646,0.411,0.111,0.046,0.076,0.354,0.52,0.615,0.386,0.31,0.333,0.321,0.656,0.986,0.204,103,0.438,0.347,1,0,ROY-7
155,Ty Lawson,29,SAC,PG,69,24,1732,0.454,13.2,0.774,0.268,0.149,0.144,0.211,0.226,0.502,0.629,0.41,0.52,0.4,0.288,0.192,0.735,0,0,0.195,0.391,3,0,
156,Garrett Temple,30,SAC,SG,65,20,1728,0.424,17.2,0.491,0.19,0.069,0.076,0.153,0.509,0.476,0.646,0.467,0.455,0.288,0.373,0.515,0.915,0.009,2,0.377,0.301,0,0,
157,Jabari Parker,21,MIL,PF,51,50,1728,0.49,10.6,0.781,0.416,0.146,0.069,0.15,0.219,0.525,0.673,0.361,0.286,0.385,0.365,0.599,0.985,0.12,92,0.309,0.436,3,0,
158,Cody Zeller,24,CHO,C,62,58,1725,0.571,4.5,0.998,0.655,0.194,0.029,0.12,0.002,0.572,0.655,0.477,0.615,0.264,0,0.798,,0.205,83,0,,0,0,
159,Will Barton,26,DEN,SG,60,19,1705,0.443,13,0.647,0.303,0.174,0.095,0.077,0.353,0.483,0.579,0.379,0.46,0.353,0.37,0.346,0.724,0.029,17,0.136,0.281,1,0,
160,Raymond Felton,32,LAC,PG,80,11,1700,0.43,14,0.72,0.286,0.14,0.066,0.228,0.28,0.473,0.612,0.403,0.324,0.385,0.319,0.246,0.739,0,0,0.188,0.593,6,0,
161,Nikola Mirotić,25,CHI,PF,70,15,1679,0.413,17.9,0.397,0.206,0.07,0.059,0.059,0.603,0.52,0.643,0.409,0.459,0.297,0.342,0.69,0.969,0.026,16,0.231,0.46,1,0,
162,Gerald Henderson,29,PHI,SG,72,41,1667,0.423,14.6,0.687,0.203,0.119,0.19,0.172,0.313,0.455,0.634,0.364,0.41,0.368,0.353,0.538,0.902,0.033,17,0.283,0.367,2,0,
163,Evan Turner,28,POR,SF,65,12,1658,0.426,12.9,0.786,0.197,0.176,0.263,0.149,0.214,0.47,0.55,0.536,0.421,0.378,0.263,0.176,0.903,0.011,6,0.449,0.321,0,0,
164,Deron Williams,32,2TM,PG,64,44,1657,0.438,16.3,0.61,0.135,0.145,0.112,0.218,0.39,0.486,0.543,0.494,0.433,0.473,0.363,0.202,0.706,0,0,0.145,0.382,1,0,
164,Deron Williams,32,DAL,PG,40,40,1171,0.43,16.8,0.6,0.13,0.137,0.113,0.221,0.4,0.485,0.542,0.484,0.451,0.47,0.348,0.205,0.714,0,0,0.149,0.444,1,0,
164,Deron Williams,32,CLE,PG,24,4,486,0.463,15.7,0.639,0.15,0.17,0.109,0.211,0.361,0.489,0.545,0.52,0.375,0.484,0.415,0.196,0.682,0,0,0.132,0.143,0,0,
165,Dante Cunningham,29,NOP,PF,66,35,1649,0.485,15.4,0.496,0.284,0.084,0.028,0.1,0.504,0.579,0.676,0.467,0.3,0.472,0.392,0.777,1,0.092,32,0.691,0.4,0,0,
166,Isaiah Whitehead,21,BRK,PG,73,26,1643,0.402,11.6,0.707,0.386,0.169,0.057,0.094,0.293,0.446,0.52,0.384,0.345,0.313,0.295,0.306,0.864,0.016,6,0.154,0.522,3,0,
167,Dorian Finney-Smith,23,DAL,PF,81,35,1642,0.372,16.6,0.426,0.261,0.075,0.024,0.069,0.574,0.479,0.609,0.28,0.125,0.304,0.293,0.647,0.964,0.093,26,0.419,0.263,3,0,
168,Justin Holiday,27,NYK,SG,82,4,1639,0.433,17.6,0.493,0.197,0.048,0.071,0.177,0.507,0.513,0.642,0.423,0.474,0.411,0.355,0.743,0.979,0.048,24,0.348,0.474,3,0,
169,Domantas Sabonis,20,OKC,PF,81,66,1632,0.399,12.7,0.669,0.283,0.206,0.067,0.114,0.331,0.438,0.551,0.333,0.219,0.473,0.321,0.624,1,0.035,15,0.289,0.283,0,0,
170,Pau Gasol,36,SAS,C,64,39,1627,0.502,12,0.828,0.232,0.26,0.109,0.227,0.172,0.494,0.614,0.452,0.364,0.482,0.538,0.668,1,0.026,16,0.298,0.677,0,0,
171,Richard Jefferson,36,CLE,SF,79,13,1614,0.446,15.6,0.458,0.292,0.087,0.023,0.055,0.542,0.58,0.77,0.2,0.5,0.211,0.333,0.747,0.984,0.122,39,0.473,0.375,1,0,
172,Josh Richardson,23,MIA,SG,53,34,1614,0.394,16.9,0.558,0.172,0.096,0.101,0.189,0.442,0.444,0.545,0.408,0.519,0.33,0.33,0.354,0.933,0.025,11,0.26,0.475,1,0,
173,Amir Johnson,29,BOS,PF,80,77,1608,0.576,7,0.822,0.524,0.268,0.014,0.014,0.178,0.612,0.716,0.434,0.4,0.4,0.409,0.758,1,0.124,41,0.288,0.316,0,0,
174,Kelly Oubre Jr.,21,WAS,SF,79,5,1605,0.421,14,0.575,0.33,0.095,0.068,0.084,0.425,0.52,0.623,0.333,0.4,0.405,0.287,0.545,0.981,0.106,41,0.431,0.185,1,0,
175,Patrick Patterson,27,TOR,PF,65,8,1599,0.401,18.6,0.341,0.128,0.112,0.07,0.031,0.659,0.458,0.551,0.419,0.444,0.25,0.372,0.517,0.979,0.023,7,0.383,0.412,1,1,
176,Thabo Sefolosha,32,ATL,SF,62,42,1596,0.441,12.5,0.696,0.365,0.089,0.084,0.157,0.304,0.484,0.625,0.343,0.273,0.355,0.342,0.647,0.951,0.053,18,0.475,0.351,0,0,
177,Rodney Hood,24,UTA,SG,59,55,1593,0.408,16.8,0.539,0.123,0.161,0.14,0.116,0.461,0.44,0.573,0.383,0.409,0.416,0.371,0.291,0.746,0.02,11,0.248,0.447,2,0,
178,Tony Parker,34,SAS,PG,63,63,1587,0.466,11.1,0.879,0.285,0.223,0.112,0.258,0.121,0.484,0.58,0.409,0.391,0.483,0.333,0.248,1,0,0,0.739,0.333,0,0,
179,Arron Afflalo,31,SAC,SG,61,45,1580,0.44,16.8,0.64,0.1,0.117,0.186,0.236,0.36,0.457,0.571,0.449,0.449,0.424,0.411,0.504,0.968,0.002,1,0.384,0.517,1,0,
180,Alex Len,23,PHO,C,77,34,1560,0.497,6.3,0.974,0.51,0.238,0.097,0.127,0.026,0.503,0.669,0.345,0.267,0.322,0.25,0.63,1,0.179,72,0.5,0.333,2,0,
181,Nick Young,31,LAL,SG,60,60,1556,0.43,20.7,0.335,0.082,0.03,0.073,0.15,0.665,0.481,0.673,0.316,0.413,0.442,0.404,0.529,0.906,0.013,8,0.247,0.385,0,0,
182,Clint Capela,22,HOU,C,65,59,1551,0.643,2,1,0.787,0.202,0.005,0.004,0,0.643,0.725,0.342,0.333,0.5,,0.826,,0.318,163,,,0,0,
183,George Hill,30,UTA,PG,49,49,1544,0.477,15.2,0.616,0.203,0.134,0.144,0.132,0.384,0.523,0.675,0.469,0.483,0.4,0.403,0.256,0.67,0.008,4,0.249,0.448,2,0,
184,D.J. Augustin,29,ORL,PG,78,20,1538,0.377,18.1,0.47,0.164,0.097,0.06,0.149,0.53,0.412,0.482,0.36,0.355,0.39,0.347,0.2,0.737,0,0,0.186,0.373,4,0,
185,Kelly Olynyk,25,BOS,C,75,6,1538,0.512,13.1,0.622,0.368,0.11,0.065,0.083,0.378,0.608,0.754,0.429,0.364,0.357,0.354,0.719,0.956,0.045,22,0.161,0.581,0,0,
186,Jeff Green,30,ORL,PF,69,11,1534,0.394,14.8,0.654,0.233,0.174,0.111,0.136,0.346,0.458,0.562,0.433,0.419,0.342,0.275,0.437,0.943,0.02,10,0.176,0.324,7,0,
187,Enes Freedom,24,OKC,C,72,0,1533,0.545,5.9,0.948,0.571,0.212,0.081,0.084,0.052,0.568,0.637,0.526,0.333,0.435,0.132,0.496,1,0.042,27,0.474,0.056,1,0,6MOY-8
188,Jerami Grant,22,2TM,PF,80,4,1531,0.463,11.8,0.646,0.375,0.131,0.049,0.091,0.354,0.514,0.642,0.395,0.25,0.3,0.371,0.651,0.977,0.149,47,0.552,0.438,0,0,
188,Jerami Grant,22,PHI,PF,2,0,41,0.353,11.5,0.882,0.294,0.176,0.059,0.353,0.118,0.4,0.6,0.333,0,0.333,0,1,,0.059,1,0.5,0,0,0,
188,Jerami Grant,22,OKC,PF,78,4,1490,0.469,12.1,0.633,0.379,0.129,0.048,0.077,0.367,0.523,0.644,0.4,0.267,0.292,0.377,0.631,0.977,0.154,46,0.553,0.444,0,0,
189,Tim Frazier,26,NOP,PG,65,35,1525,0.403,13.4,0.683,0.304,0.149,0.074,0.156,0.317,0.446,0.577,0.317,0.267,0.397,0.313,0.268,0.625,0.002,1,0.086,0.182,0,0,
190,Sergio Rodríguez,30,PHI,PG,68,30,1518,0.392,17.6,0.53,0.14,0.11,0.106,0.174,0.47,0.415,0.587,0.39,0.368,0.323,0.365,0.195,0.565,0,0,0.087,0.545,0,0,
191,Shabazz Muhammad,24,MIN,SF,78,1,1516,0.482,10.3,0.758,0.353,0.244,0.119,0.04,0.242,0.528,0.697,0.425,0.324,0.292,0.338,0.674,0.98,0.099,53,0.393,0.404,0,0,
192,Doug McDermott,25,2TM,SF,66,5,1508,0.447,16.1,0.581,0.185,0.135,0.115,0.149,0.419,0.502,0.62,0.433,0.439,0.459,0.37,0.766,0.987,0.022,8,0.332,0.391,0,0,
192,Doug McDermott,25,CHI,SF,44,4,1078,0.445,15.7,0.598,0.201,0.123,0.11,0.166,0.402,0.493,0.587,0.457,0.415,0.452,0.373,0.8,1,0.024,7,0.347,0.404,0,0,
192,Doug McDermott,25,OKC,SF,22,1,430,0.452,16.4,0.532,0.137,0.169,0.129,0.097,0.468,0.53,0.765,0.381,0.5,0.5,0.362,0.657,0.952,0.016,1,0.293,0.353,0,0,
193,James Ennis III,26,MEM,SF,64,28,1501,0.455,13.1,0.573,0.421,0.075,0.012,0.065,0.427,0.516,0.6,0.25,0.5,0.286,0.372,0.621,0.941,0.059,17,0.409,0.393,1,0,
194,Wayne Ellington,29,MIA,SG,62,13,1500,0.416,22.1,0.29,0.047,0.016,0.023,0.204,0.71,0.509,0.846,0.444,0.154,0.478,0.378,0.756,0.926,0.007,4,0.282,0.414,1,0,
195,Langston Galloway,25,2TM,PG,74,2,1495,0.38,19.6,0.435,0.09,0.061,0.057,0.229,0.565,0.367,0.51,0.121,0.355,0.376,0.39,0.46,0.917,0,0,0.149,0.37,2,0,
195,Langston Galloway,25,NOP,PG,55,0,1120,0.374,20.8,0.392,0.095,0.05,0.05,0.2,0.608,0.37,0.5,0.182,0.364,0.352,0.377,0.453,0.901,0,0,0.149,0.4,2,0,
195,Langston Galloway,25,SAC,PG,19,2,375,0.404,18.4,0.615,0.067,0.106,0.087,0.356,0.385,0.359,0.571,0,0.333,0.432,0.475,0.478,1,0,0,0.15,0.167,0,0,
196,Luol Deng,31,LAL,SF,56,49,1486,0.387,14.9,0.611,0.283,0.094,0.083,0.156,0.389,0.436,0.617,0.35,0.286,0.227,0.309,0.549,0.922,0.031,10,0.339,0.393,3,0,
197,David Lee,33,SAS,PF,79,10,1477,0.59,4.7,1,0.6,0.245,0.081,0.074,0,0.59,0.706,0.417,0.471,0.355,,0.698,,0.107,44,,,0,0,
198,Anthony Tolliver,31,SAC,PF,65,9,1477,0.442,18.5,0.345,0.151,0.103,0.04,0.054,0.655,0.537,0.66,0.528,0.214,0.421,0.391,0.646,1,0.031,10,0.278,0.406,0,0,
199,Andrew Harrison,22,MEM,PG,72,18,1474,0.325,15.7,0.567,0.272,0.1,0.075,0.122,0.433,0.363,0.459,0.333,0.148,0.295,0.276,0.149,0.628,0.006,1,0.135,0.429,5,0,
200,Larry Nance Jr.,24,LAL,PF,63,7,1442,0.526,9.3,0.9,0.416,0.186,0.114,0.191,0.1,0.554,0.7,0.478,0.317,0.435,0.278,0.756,1,0.169,60,0.306,0.182,2,0,
201,Glenn Robinson III,23,IND,SF,69,27,1427,0.467,15.4,0.63,0.228,0.101,0.08,0.222,0.37,0.512,0.623,0.441,0.481,0.427,0.392,0.633,1,0.071,21,0.6,0.44,0,0,
202,Dirk Nowitzki,38,DAL,PF,54,54,1424,0.437,18,0.692,0.062,0.053,0.217,0.36,0.308,0.463,0.571,0.444,0.476,0.439,0.378,0.77,1,0.003,2,0.057,0.417,0,0,
203,Reggie Jackson,26,DET,PG,52,50,1424,0.419,13.4,0.728,0.232,0.207,0.129,0.161,0.272,0.442,0.51,0.371,0.437,0.44,0.359,0.073,0.455,0.012,6,0.13,0.292,3,0,
204,Willie Cauley-Stein,23,SAC,C,75,21,1421,0.53,5.9,0.996,0.449,0.326,0.123,0.098,0.004,0.532,0.722,0.382,0.373,0.362,0,0.725,,0.187,80,0,,0,0,
205,Sam Dekker,22,HOU,PF,77,2,1419,0.473,12.6,0.564,0.436,0.098,0.012,0.023,0.436,0.591,0.647,0.357,0.4,0.5,0.321,0.727,0.967,0.121,44,0.353,0.394,3,0,
206,Kosta Koufos,27,SAC,C,71,62,1419,0.551,4.8,0.997,0.411,0.495,0.089,0.003,0.003,0.552,0.696,0.469,0.371,0,0,0.727,,0.097,36,0,,1,0,
207,Emmanuel Mudiay,20,DEN,PG,55,41,1406,0.377,12.6,0.677,0.363,0.113,0.111,0.094,0.323,0.408,0.505,0.29,0.262,0.327,0.315,0.368,0.911,0.025,12,0.208,0.297,1,0,
208,Channing Frye,33,CLE,C,74,15,1398,0.458,19.3,0.356,0.129,0.077,0.058,0.094,0.644,0.546,0.642,0.4,0.533,0.531,0.409,0.832,1,0.05,20,0.224,0.413,0,0,
209,Jonathon Simmons,27,SAS,SG,78,8,1392,0.42,12,0.758,0.349,0.14,0.081,0.188,0.242,0.461,0.592,0.356,0.412,0.316,0.294,0.51,1,0.093,31,0.363,0.297,4,0,
210,Jusuf Nurkić,22,2TM,C,65,48,1391,0.507,4.3,0.998,0.612,0.285,0.015,0.084,0.002,0.508,0.578,0.428,0.25,0.333,0,0.605,,0.092,46,0,,0,0,
210,Jusuf Nurkić,22,DEN,C,45,29,807,0.507,3.7,1,0.638,0.285,0.017,0.057,0,0.507,0.579,0.412,0.4,0.235,,0.629,,0.111,30,,,0,0,
210,Jusuf Nurkić,22,POR,C,20,19,584,0.508,4.9,0.996,0.581,0.284,0.013,0.119,0.004,0.511,0.577,0.448,0,0.393,0,0.575,,0.068,16,0,,0,0,
211,Dion Waiters,25,MIA,SG,46,43,1384,0.424,13.8,0.676,0.345,0.077,0.051,0.201,0.324,0.438,0.507,0.294,0.235,0.429,0.395,0.194,0.8,0.005,3,0.26,0.518,2,0,
212,Stanley Johnson,20,DET,SF,77,1,1371,0.353,17,0.578,0.123,0.151,0.129,0.175,0.422,0.398,0.644,0.255,0.511,0.266,0.292,0.345,0.933,0.008,3,0.253,0.359,2,0,
213,Norman Powell,23,TOR,SG,76,18,1368,0.449,11.8,0.658,0.411,0.128,0.03,0.091,0.342,0.514,0.606,0.354,0.2,0.413,0.324,0.263,0.946,0.067,31,0.445,0.338,0,0,
214,Jason Terry,39,MIL,SG,74,0,1365,0.432,19.8,0.296,0.115,0.074,0.049,0.058,0.704,0.444,0.5,0.5,0.333,0.357,0.427,0.594,0.932,0,0,0.52,0.393,0,0,
215,Jared Dudley,31,PHO,PF,64,7,1362,0.454,19.3,0.413,0.147,0.032,0.061,0.173,0.587,0.559,0.706,0.364,0.524,0.483,0.379,0.613,1,0,0,0.197,0.225,0,0,
216,Shaun Livingston,31,GSW,PG,76,3,1345,0.547,10.4,0.991,0.222,0.13,0.532,0.104,0.009,0.55,0.786,0.683,0.458,0.364,0.333,0.512,1,0.098,30,0,,1,0,
