,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
55,Kyle Kuzma,23,LAL,PF,70,68,2314,0.456,13.3,0.612,0.288,0.203,0.072,0.049,0.388,0.553,0.661,0.471,0.487,0.358,0.303,0.614,0.922,0.055,58,0.201,0.353,1,0,
56,Bryn Forbes,25,SAS,SG,82,81,2293,0.456,18.7,0.478,0.104,0.115,0.095,0.164,0.522,0.489,0.622,0.418,0.4,0.508,0.426,0.546,0.847,0.004,2,0.116,0.563,3,0,
57,Joe Harris,27,BRK,SG,76,76,2293,0.5,15.3,0.484,0.279,0.138,0.047,0.02,0.516,0.528,0.646,0.35,0.314,0.6,0.474,0.801,0.989,0.001,1,0.15,0.517,0,0,
58,Al-Farouq Aminu,28,POR,PF,81,81,2292,0.433,13.9,0.528,0.351,0.105,0.029,0.044,0.472,0.514,0.611,0.419,0.118,0.231,0.343,0.516,1,0.079,42,0.311,0.356,0,0,
59,Reggie Jackson,28,DET,PG,82,82,2289,0.421,16.5,0.55,0.138,0.206,0.113,0.094,0.45,0.464,0.583,0.394,0.432,0.48,0.369,0.187,0.793,0.016,14,0.172,0.407,4,0,
60,Eric Bledsoe,29,MIL,PG,78,78,2272,0.484,12.9,0.612,0.383,0.124,0.065,0.04,0.388,0.582,0.726,0.3,0.413,0.359,0.329,0.329,0.589,0.015,15,0.143,0.278,0,0,DEF1
61,D.J. Augustin,31,ORL,PG,81,81,2269,0.47,15.2,0.541,0.267,0.137,0.075,0.061,0.459,0.511,0.646,0.333,0.353,0.512,0.421,0.182,0.641,0.001,0,0.174,0.519,4,0,
62,Jeremy Lamb,26,CHO,SG,79,55,2250,0.44,13.5,0.663,0.232,0.229,0.122,0.081,0.337,0.487,0.59,0.379,0.521,0.443,0.348,0.44,0.835,0.023,19,0.152,0.54,1,1,
63,Clint Capela,24,HOU,C,67,67,2249,0.648,2.4,1,0.75,0.24,0.01,0,0,0.648,0.747,0.364,0,,,0.812,,0.351,240,,,0,0,
64,Devin Booker,22,PHO,SG,64,64,2242,0.467,14.6,0.67,0.229,0.135,0.19,0.116,0.33,0.536,0.659,0.471,0.496,0.438,0.326,0.295,0.578,0.015,14,0.07,0.345,6,1,
65,Julius Randle,24,NOP,PF,73,49,2232,0.524,8.3,0.821,0.446,0.274,0.062,0.039,0.179,0.564,0.689,0.426,0.412,0.333,0.344,0.49,0.91,0.075,78,0.164,0.344,0,0,
66,Danny Green,31,TOR,SG,80,80,2216,0.465,19.6,0.31,0.114,0.086,0.054,0.056,0.69,0.487,0.639,0.333,0.471,0.429,0.455,0.621,0.914,0.003,2,0.414,0.5,2,0,
67,Jordan Clarkson,26,CLE,SG,81,0,2214,0.448,14.7,0.623,0.203,0.177,0.155,0.087,0.377,0.524,0.658,0.44,0.492,0.437,0.324,0.265,0.785,0.015,16,0.196,0.345,1,0,
68,Kyrie Irving,26,BOS,PG,67,67,2214,0.487,14.6,0.65,0.226,0.16,0.132,0.132,0.35,0.533,0.633,0.444,0.524,0.476,0.401,0.265,0.638,0.002,1,0.124,0.407,1,0,"AS,NBA2"
69,Willie Cauley-Stein,25,SAC,C,81,81,2213,0.556,4.5,0.997,0.594,0.27,0.065,0.069,0.003,0.556,0.714,0.31,0.354,0.353,0.5,0.786,1,0.279,182,0,,1,0,
70,Kyle Lowry,32,TOR,PG,65,65,2213,0.411,19,0.387,0.187,0.06,0.062,0.078,0.613,0.514,0.645,0.409,0.435,0.345,0.347,0.299,0.745,0,0,0.115,0.442,3,0,AS
71,Marcus Smart,24,BOS,SG,80,60,2200,0.422,18.1,0.39,0.173,0.115,0.053,0.049,0.61,0.511,0.694,0.354,0.4,0.357,0.364,0.434,0.921,0.023,12,0.251,0.379,0,0,"DPOY-8,DEF1"
72,Jimmy Butler,29,2TM,SG,65,65,2185,0.462,11.9,0.787,0.315,0.167,0.156,0.148,0.213,0.494,0.716,0.311,0.404,0.321,0.347,0.481,0.672,0.079,69,0.238,0.348,1,0,
72,Jimmy Butler,29,MIN,SG,10,10,361,0.471,12.3,0.713,0.299,0.172,0.166,0.076,0.287,0.509,0.702,0.333,0.423,0.333,0.378,0.333,0.529,0.076,12,0.267,0.5,1,0,
72,Jimmy Butler,29,PHI,SF,55,55,1824,0.461,11.5,0.802,0.319,0.166,0.154,0.163,0.198,0.491,0.718,0.306,0.4,0.32,0.338,0.51,0.72,0.079,57,0.23,0.294,0,0,
73,Deandre Ayton,20,PHO,C,71,70,2183,0.585,6.7,0.995,0.478,0.217,0.154,0.146,0.005,0.588,0.733,0.556,0.41,0.346,0,0.711,,0.163,135,0.25,0,0,0,ROY-3
74,Shai Gilgeous-Alexander,20,LAC,PG,82,73,2174,0.476,11.2,0.806,0.314,0.161,0.222,0.109,0.194,0.503,0.631,0.417,0.415,0.436,0.367,0.31,0.902,0.028,19,0.46,0.406,1,0,ROY-6
75,Zach LaVine,23,CHI,SG,63,62,2171,0.467,12,0.717,0.396,0.127,0.067,0.127,0.283,0.504,0.653,0.264,0.303,0.382,0.374,0.332,0.525,0.064,69,0.121,0.513,2,0,
76,Jae Crowder,28,UTA,SF,80,11,2166,0.399,18.7,0.345,0.202,0.056,0.023,0.064,0.655,0.527,0.671,0.244,0.167,0.451,0.331,0.869,0.942,0.031,22,0.239,0.352,4,0,6MOY-11
77,Tomáš Satoranský,27,WAS,PG,80,54,2164,0.485,12.2,0.694,0.317,0.198,0.104,0.075,0.306,0.524,0.702,0.448,0.255,0.35,0.395,0.477,0.969,0.055,25,0.265,0.372,2,0,
78,Montrezl Harrell,25,LAC,C,82,5,2158,0.615,3.9,0.981,0.669,0.242,0.054,0.016,0.019,0.623,0.724,0.419,0.375,0.357,0.176,0.696,1,0.252,203,0.059,0,3,0,6MOY-3
79,Kevin Knox,19,NYK,PF,75,57,2158,0.37,15.2,0.602,0.221,0.149,0.102,0.13,0.398,0.387,0.5,0.353,0.344,0.269,0.343,0.479,0.896,0.028,18,0.203,0.365,0,0,
80,Eric Gordon,30,HOU,SG,68,53,2158,0.409,18.3,0.36,0.198,0.134,0.018,0.01,0.64,0.497,0.634,0.317,0.412,0.333,0.36,0.435,0.875,0.007,7,0.112,0.373,0,0,
81,Joel Embiid,24,PHI,C,64,64,2154,0.484,11,0.781,0.345,0.209,0.137,0.09,0.219,0.535,0.729,0.404,0.366,0.352,0.3,0.487,0.924,0.1,106,0.038,0.4,2,0,"MVP-7,DPOY-4,AS,NBA2,DEF2"
82,Terrence Ross,27,ORL,SG,81,0,2150,0.428,20.7,0.449,0.068,0.049,0.104,0.228,0.551,0.484,0.7,0.46,0.43,0.449,0.383,0.713,0.765,0.028,24,0.092,0.462,7,0,6MOY-5
83,Darren Collison,31,IND,PG,76,76,2143,0.467,15.2,0.706,0.25,0.064,0.085,0.307,0.294,0.492,0.588,0.262,0.5,0.46,0.407,0.319,0.734,0.002,1,0.325,0.54,1,0,
84,Patrick Beverley,30,LAC,PG,78,49,2137,0.407,16.9,0.409,0.187,0.182,0.029,0.01,0.591,0.421,0.494,0.379,0.286,0.2,0.397,0.354,0.875,0.004,0,0.195,0.455,0,0,DPOY-9
85,Marvin Williams,32,CHO,PF,75,75,2133,0.422,17.2,0.414,0.158,0.186,0.041,0.029,0.586,0.5,0.641,0.421,0.37,0.421,0.366,0.763,0.993,0.015,8,0.309,0.432,1,0,
86,Myles Turner,22,IND,C,74,74,2119,0.487,13.9,0.749,0.256,0.141,0.108,0.244,0.251,0.521,0.685,0.445,0.476,0.411,0.388,0.78,0.974,0.081,54,0.077,0.6,0,0,DPOY-5
87,Jeff Green,32,WAS,PF,77,44,2097,0.475,15.9,0.534,0.242,0.124,0.08,0.089,0.466,0.586,0.771,0.471,0.364,0.443,0.347,0.614,0.973,0.063,39,0.281,0.389,4,0,
88,Jarrett Allen,20,BRK,C,80,80,2096,0.59,4.3,0.921,0.678,0.22,0.021,0.002,0.079,0.629,0.725,0.384,0.167,0,0.133,0.83,1,0.343,170,0.867,0.154,0,0,DPOY-9
89,Marcus Morris,29,BOS,PF,75,53,2091,0.447,16.6,0.539,0.174,0.117,0.143,0.104,0.461,0.508,0.68,0.455,0.38,0.455,0.375,0.528,0.938,0.017,13,0.144,0.232,4,0,
90,Wesley Matthews,32,3TM,SF,69,68,2091,0.4,18.8,0.423,0.125,0.138,0.112,0.049,0.577,0.437,0.609,0.365,0.372,0.353,0.372,0.558,0.92,0,0,0.206,0.422,2,0,
90,Wesley Matthews,32,DAL,SF,44,44,1312,0.414,17.8,0.439,0.124,0.166,0.113,0.036,0.561,0.456,0.638,0.385,0.434,0.235,0.38,0.5,0.92,0,0,0.183,0.458,2,0,
90,Wesley Matthews,32,NYK,SG,2,1,54,0.211,19.2,0.474,0.053,0.053,0.263,0.105,0.526,0.222,0,1,0.2,0,0.2,0,1,0,0,0.3,0,0,0,
90,Wesley Matthews,32,IND,SG,23,23,725,0.386,19.2,0.381,0.133,0.081,0.095,0.071,0.619,0.413,0.571,0.235,0.25,0.533,0.369,0.758,0.917,0,0,0.246,0.406,0,0,
91,Draymond Green,28,GSW,PF,66,66,2065,0.445,13.4,0.609,0.358,0.135,0.066,0.05,0.391,0.549,0.702,0.316,0.393,0.286,0.285,0.702,0.936,0.064,25,0.133,0.455,1,0,"DPOY-6,DEF2"
92,Cory Joseph,27,IND,PG,82,9,2063,0.412,15.7,0.688,0.146,0.162,0.17,0.21,0.312,0.454,0.675,0.36,0.452,0.374,0.322,0.269,0.927,0,0,0.216,0.351,4,1,
93,Danilo Gallinari,30,LAC,SF,68,68,2059,0.463,16.1,0.579,0.232,0.101,0.102,0.145,0.421,0.484,0.629,0.371,0.444,0.359,0.433,0.464,0.845,0.052,40,0.051,0.421,2,0,
94,Tim Hardaway Jr.,26,2TM,SG,65,63,2057,0.393,17.5,0.52,0.162,0.11,0.113,0.135,0.48,0.442,0.584,0.321,0.42,0.388,0.34,0.425,0.728,0.016,14,0.115,0.345,2,0,
94,Tim Hardaway Jr.,26,NYK,SG,46,46,1499,0.388,17.4,0.536,0.168,0.106,0.107,0.154,0.464,0.424,0.557,0.299,0.41,0.375,0.347,0.352,0.675,0.012,8,0.077,0.269,1,0,
94,Tim Hardaway Jr.,26,DAL,SG,19,17,558,0.404,17.6,0.476,0.146,0.12,0.127,0.082,0.524,0.496,0.667,0.375,0.441,0.455,0.321,0.619,0.867,0.026,6,0.207,0.414,1,0,
95,Kevin Huerter,20,ATL,SG,75,59,2048,0.419,16.8,0.463,0.193,0.142,0.096,0.032,0.537,0.457,0.598,0.355,0.333,0.429,0.385,0.504,0.772,0.037,24,0.19,0.418,2,0,
96,DeAndre Jordan,30,2TM,C,69,69,2047,0.641,2.2,1,0.814,0.161,0.016,0.009,0,0.641,0.705,0.403,0.143,0,,0.713,,0.437,167,,,0,0,
96,DeAndre Jordan,30,DAL,C,50,50,1554,0.644,2,1,0.836,0.142,0.012,0.009,0,0.644,0.707,0.37,0,0,,0.74,,0.467,128,,,0,0,
96,DeAndre Jordan,30,NYK,C,19,19,493,0.634,2.3,1,0.756,0.211,0.024,0.008,0,0.634,0.699,0.462,0.333,0,,0.641,,0.358,39,,,0,0,
97,Kawhi Leonard,27,TOR,SF,60,60,2040,0.496,13.3,0.733,0.249,0.147,0.188,0.149,0.267,0.542,0.701,0.464,0.472,0.44,0.371,0.283,0.67,0.05,54,0.166,0.42,0,0,"MVP-9,DPOY-6,AS,NBA2,DEF2"
98,Garrett Temple,32,2TM,SG,75,55,2040,0.422,16.6,0.465,0.221,0.083,0.079,0.081,0.535,0.515,0.688,0.341,0.487,0.25,0.341,0.636,0.933,0.026,12,0.386,0.382,0,0,
98,Garrett Temple,32,MEM,SG,49,49,1530,0.429,16.8,0.457,0.222,0.08,0.075,0.08,0.543,0.52,0.698,0.355,0.483,0.226,0.352,0.63,0.919,0.028,10,0.386,0.395,0,0,
98,Garrett Temple,32,LAC,SG,26,6,510,0.396,16.4,0.491,0.217,0.094,0.094,0.085,0.509,0.5,0.652,0.3,0.5,0.333,0.296,0.654,1,0.019,2,0.389,0.333,0,0,
99,Kentavious Caldwell-Pope,25,LAL,SG,82,23,2035,0.43,18.3,0.425,0.18,0.06,0.071,0.114,0.575,0.542,0.676,0.4,0.407,0.488,0.347,0.707,0.94,0.029,17,0.257,0.42,1,0,
100,Austin Rivers,26,2TM,SG,76,15,2028,0.406,16.3,0.428,0.217,0.177,0.031,0.003,0.572,0.522,0.645,0.406,0.278,1,0.318,0.313,0.683,0.003,2,0.211,0.333,1,0,
