,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
37,OG Anunoby,25,TOR,SF,67,67,2386,0.476,13.5,0.585,0.293,0.173,0.062,0.056,0.415,0.539,0.695,0.366,0.364,0.46,0.387,0.566,0.937,0.13,103,0.392,0.458,1,0,"DPOY-7,DEF2"
38,Keegan Murray,22,SAC,SF,80,78,2382,0.453,17.8,0.359,0.179,0.106,0.042,0.027,0.641,0.527,0.671,0.349,0.455,0.333,0.411,0.689,0.966,0.058,39,0.277,0.439,0,0,ROY-5
39,Kentavious Caldwell-Pope,29,DEN,SG,76,76,2381,0.462,17.3,0.495,0.136,0.114,0.081,0.155,0.505,0.502,0.686,0.403,0.431,0.449,0.423,0.828,0.926,0.024,12,0.411,0.405,1,0,
40,P.J. Washington,24,CHO,PF,73,73,2380,0.444,14.8,0.562,0.198,0.242,0.06,0.061,0.438,0.518,0.691,0.451,0.424,0.317,0.348,0.74,0.919,0.05,45,0.22,0.351,1,0,
41,Jalen Brunson,26,NYK,PG,68,68,2379,0.491,12.9,0.731,0.149,0.331,0.172,0.079,0.269,0.519,0.612,0.504,0.471,0.511,0.416,0.166,0.575,0.002,2,0.205,0.424,0,0,"MVP-12,CPOY-4"
42,Brook Lopez,34,MIL,C,78,78,2373,0.531,14,0.595,0.281,0.17,0.108,0.036,0.405,0.637,0.771,0.569,0.485,0.375,0.374,0.745,0.971,0.087,71,0.198,0.403,0,0,"DPOY-2,DEF1"
43,Josh Giddey,20,OKC,PF,76,76,2367,0.482,9.6,0.791,0.301,0.381,0.089,0.021,0.209,0.524,0.646,0.455,0.455,0.304,0.325,0.363,0.934,0.011,12,0.128,0.4,1,0,
44,Reggie Bullock,31,DAL,SF,78,55,2364,0.409,21.7,0.155,0.077,0.04,0.019,0.019,0.845,0.562,0.75,0.421,0.444,0.222,0.38,0.854,0.98,0.002,1,0.491,0.451,0,0,
45,Immanuel Quickley,23,NYK,SG,81,21,2344,0.448,16.5,0.515,0.127,0.205,0.127,0.056,0.485,0.521,0.681,0.5,0.471,0.346,0.37,0.263,0.72,0.009,8,0.271,0.366,1,0,6MOY-2
46,Tyler Herro,23,MIA,SG,67,67,2337,0.439,17.1,0.516,0.093,0.189,0.152,0.076,0.484,0.497,0.699,0.486,0.462,0.357,0.378,0.387,0.69,0.012,13,0.168,0.444,2,0,
47,Patrick Williams,21,CHI,PF,82,65,2323,0.464,14.6,0.591,0.258,0.112,0.12,0.1,0.409,0.498,0.64,0.316,0.432,0.412,0.415,0.633,0.983,0.118,59,0.39,0.463,0,0,
48,Nikola Jokić,27,DEN,C,69,69,2323,0.632,8.6,0.854,0.303,0.414,0.092,0.038,0.146,0.675,0.784,0.643,0.5,0.59,0.383,0.603,0.825,0.022,21,0.027,0.25,2,0,"MVP-2,CPOY-13,AS,NBA2"
49,Derrick White,28,BOS,SG,82,70,2319,0.462,15.9,0.484,0.156,0.214,0.079,0.024,0.516,0.548,0.72,0.469,0.517,0.333,0.381,0.502,0.886,0.018,11,0.284,0.387,0,0,DEF2
50,Jaden Ivey,20,DET,SG,74,73,2304,0.416,13.8,0.644,0.242,0.211,0.097,0.087,0.356,0.457,0.584,0.333,0.411,0.442,0.343,0.239,0.733,0.033,28,0.117,0.366,2,0,ROY-6
51,D'Angelo Russell,26,2TM,PG,71,71,2304,0.469,17.2,0.483,0.129,0.137,0.133,0.084,0.517,0.548,0.721,0.492,0.484,0.475,0.396,0.315,0.68,0,0,0.102,0.4,0,0,
51,D'Angelo Russell,26,MIN,PG,54,54,1778,0.465,17.8,0.479,0.118,0.124,0.147,0.089,0.521,0.546,0.698,0.511,0.477,0.508,0.391,0.311,0.649,0,0,0.113,0.349,0,0,
51,D'Angelo Russell,26,LAL,PG,17,17,526,0.484,16.6,0.498,0.163,0.181,0.086,0.068,0.502,0.555,0.778,0.45,0.526,0.333,0.414,0.328,0.783,0,0,0.063,0.714,0,0,
52,Draymond Green,32,GSW,PF,73,73,2297,0.527,10.3,0.724,0.297,0.363,0.04,0.023,0.276,0.612,0.709,0.57,0.474,0.273,0.305,0.852,1,0.051,21,0.298,0.308,2,0,"DPOY-4,DEF2"
53,KJ Martin,22,HOU,SF,82,49,2292,0.569,9.7,0.7,0.417,0.281,0.003,0,0.3,0.679,0.807,0.49,0.5,,0.315,0.772,1,0.275,173,0.236,0.353,0,0,
54,Joel Embiid,28,PHI,C,66,66,2284,0.548,11.2,0.849,0.269,0.196,0.242,0.133,0.151,0.587,0.807,0.435,0.514,0.489,0.33,0.589,0.879,0.065,74,0.04,0.25,4,0,"MVP-1,DPOY-9,CPOY-5,AS,NBA1"
55,Bruce Brown,26,DEN,SF,80,31,2280,0.483,12,0.657,0.262,0.266,0.086,0.032,0.343,0.548,0.809,0.391,0.391,0.25,0.358,0.551,0.923,0.076,50,0.382,0.392,1,0,
56,Klay Thompson,32,GSW,SF,69,69,2279,0.436,19.6,0.416,0.058,0.123,0.114,0.121,0.584,0.47,0.694,0.513,0.378,0.408,0.412,0.727,0.89,0.011,11,0.17,0.403,0,0,
57,Jalen Williams,21,OKC,SG,75,62,2276,0.521,10.4,0.742,0.377,0.246,0.073,0.047,0.258,0.579,0.726,0.436,0.448,0.351,0.356,0.416,0.904,0.106,77,0.146,0.367,2,0,ROY-2
58,Lauri Markkanen,25,UTA,PF,66,66,2273,0.499,14.6,0.554,0.213,0.251,0.053,0.037,0.446,0.585,0.717,0.505,0.525,0.452,0.391,0.65,0.935,0.112,111,0.184,0.489,0,0,"MIP-1,AS"
59,Max Strus,26,MIA,SF,80,33,2272,0.41,19.4,0.287,0.138,0.114,0.023,0.011,0.713,0.559,0.679,0.478,0.444,0.111,0.35,0.701,0.939,0.025,17,0.274,0.461,0,0,
60,Luguentz Dort,23,OKC,SF,74,73,2272,0.388,14.2,0.532,0.301,0.174,0.032,0.024,0.468,0.44,0.521,0.309,0.357,0.476,0.33,0.51,0.889,0.04,29,0.232,0.411,1,0,
61,Nic Claxton,23,BRK,C,76,76,2271,0.705,2.7,0.997,0.671,0.303,0.022,0,0.003,0.708,0.805,0.511,0.462,,0,0.763,,0.346,191,1,0,0,0,DPOY-9
62,Jerami Grant,28,POR,PF,63,63,2246,0.475,13.9,0.607,0.264,0.141,0.085,0.103,0.393,0.523,0.68,0.419,0.397,0.383,0.401,0.569,0.944,0.083,70,0.357,0.375,0,0,
63,Kyrie Irving,30,2TM,SG,60,60,2241,0.494,15.5,0.588,0.16,0.182,0.155,0.091,0.412,0.574,0.724,0.507,0.538,0.509,0.379,0.291,0.511,0.002,1,0.107,0.34,2,0,"CPOY-12,AS"
63,Kyrie Irving,30,BRK,PG,40,40,1478,0.486,16.2,0.575,0.147,0.166,0.16,0.103,0.425,0.569,0.7,0.522,0.55,0.488,0.374,0.295,0.515,0.001,1,0.098,0.324,0,0,
63,Kyrie Irving,30,DAL,SG,20,20,763,0.51,14.8,0.615,0.188,0.216,0.143,0.068,0.385,0.585,0.764,0.482,0.509,0.577,0.392,0.283,0.5,0.003,0,0.128,0.368,2,0,
64,Kyle Kuzma,27,WAS,PF,64,64,2239,0.448,14.9,0.579,0.186,0.266,0.082,0.045,0.421,0.533,0.722,0.487,0.383,0.294,0.333,0.466,0.781,0.036,38,0.243,0.41,5,2,
65,Caris LeVert,28,CLE,SG,74,30,2237,0.431,14.5,0.563,0.235,0.181,0.115,0.028,0.437,0.462,0.638,0.373,0.306,0.238,0.392,0.368,0.701,0.042,29,0.228,0.405,1,0,
66,Bennedict Mathurin,20,IND,SG,78,17,2222,0.434,12.1,0.674,0.286,0.26,0.075,0.044,0.326,0.488,0.625,0.397,0.366,0.333,0.323,0.591,0.74,0.035,28,0.194,0.333,5,0,"ROY-4,6MOY-8"
67,Terry Rozier,28,CHO,SG,63,63,2221,0.415,15.1,0.575,0.194,0.199,0.101,0.081,0.425,0.48,0.622,0.376,0.467,0.417,0.327,0.326,0.655,0.003,3,0.289,0.301,2,0,
68,Jarrett Allen,24,CLE,C,68,68,2220,0.644,4.4,0.984,0.57,0.304,0.075,0.027,0.016,0.653,0.765,0.516,0.511,0.294,0.1,0.769,1,0.316,177,0.6,0,0,0,
69,Dillon Brooks,27,MEM,SF,73,73,2214,0.396,15.8,0.557,0.157,0.19,0.138,0.072,0.443,0.451,0.635,0.362,0.453,0.282,0.326,0.438,0.797,0.012,12,0.164,0.361,2,0,DEF2
70,Kevin Huerter,24,SAC,SG,75,75,2203,0.485,17.8,0.411,0.135,0.141,0.087,0.042,0.589,0.604,0.778,0.607,0.413,0.444,0.402,0.656,0.868,0.014,11,0.149,0.395,0,0,
71,Jrue Holiday,32,MIL,PG,67,65,2183,0.479,15.3,0.598,0.194,0.216,0.096,0.093,0.402,0.542,0.727,0.452,0.459,0.453,0.384,0.247,0.43,0.007,6,0.117,0.458,4,0,"DPOY-7,AS,DEF1"
72,Alperen Şengün,20,HOU,C,75,72,2171,0.553,6,0.929,0.395,0.464,0.053,0.016,0.071,0.57,0.677,0.499,0.476,0.308,0.333,0.499,1,0.109,77,0.035,0,1,0,
73,Anfernee Simons,23,POR,SG,62,62,2171,0.447,17.9,0.462,0.166,0.124,0.092,0.08,0.538,0.528,0.647,0.431,0.542,0.417,0.377,0.29,0.684,0.029,26,0.107,0.4,1,0,
74,Ivica Zubac,25,LAC,C,76,76,2170,0.634,3.3,0.996,0.593,0.377,0.021,0.004,0.004,0.637,0.702,0.546,0.455,0.5,0,0.733,,0.286,130,0,,1,0,
75,Killian Hayes,21,DET,PG,76,56,2154,0.377,15.7,0.649,0.086,0.216,0.236,0.112,0.351,0.429,0.586,0.403,0.401,0.418,0.28,0.141,0.763,0.017,13,0.259,0.243,0,0,
76,Tim Hardaway Jr.,30,DAL,SF,71,45,2152,0.401,19.7,0.351,0.109,0.093,0.09,0.059,0.649,0.431,0.543,0.367,0.434,0.32,0.385,0.641,0.896,0.014,9,0.271,0.389,4,0,
77,De'Anthony Melton,24,PHI,SG,77,58,2150,0.425,17.8,0.381,0.183,0.131,0.037,0.026,0.619,0.484,0.622,0.329,0.292,0.529,0.39,0.467,0.873,0.011,6,0.241,0.371,2,0,
78,Rudy Gobert,30,MIN,C,70,70,2148,0.659,2.5,0.995,0.778,0.19,0.022,0.004,0.005,0.663,0.748,0.365,0.333,0,0,0.744,,0.388,200,0,,2,0,
79,Jimmy Butler,33,MIA,PF,64,64,2138,0.539,8.3,0.884,0.314,0.341,0.158,0.055,0.116,0.564,0.703,0.492,0.5,0.408,0.35,0.377,0.694,0.068,54,0.534,0.345,1,0,"MVP-10,DPOY-12,CPOY-2,NBA2"
80,James Harden,33,PHI,PG,58,58,2135,0.441,16.4,0.504,0.162,0.188,0.106,0.043,0.496,0.495,0.618,0.418,0.438,0.528,0.385,0.129,0.416,0.001,1,0.05,0.429,0,0,
81,Jamal Murray,25,DEN,PG,65,65,2133,0.454,16.2,0.585,0.144,0.161,0.134,0.142,0.415,0.494,0.667,0.44,0.46,0.399,0.398,0.326,0.587,0.018,17,0.12,0.5,8,0,
82,John Collins,25,ATL,PF,71,71,2130,0.508,12,0.661,0.29,0.207,0.109,0.045,0.339,0.619,0.795,0.459,0.481,0.5,0.292,0.775,0.943,0.113,73,0.4,0.302,0,0,
83,Saddiq Bey,23,2TM,SF,77,37,2129,0.422,15.3,0.5,0.218,0.177,0.05,0.049,0.5,0.483,0.643,0.399,0.286,0.268,0.361,0.381,0.894,0.036,30,0.347,0.407,6,0,
83,Saddiq Bey,23,DET,SF,52,30,1500,0.404,15.9,0.517,0.203,0.201,0.061,0.051,0.483,0.46,0.626,0.402,0.243,0.29,0.345,0.333,0.921,0.026,16,0.29,0.424,5,0,
83,Saddiq Bey,23,ATL,SF,25,7,629,0.47,14.8,0.457,0.257,0.113,0.022,0.043,0.543,0.552,0.678,0.385,0.6,0.2,0.4,0.5,0.84,0.061,14,0.48,0.383,1,0,
84,De'Andre Hunter,25,ATL,SF,67,67,2126,0.461,14.4,0.652,0.157,0.176,0.193,0.114,0.348,0.521,0.651,0.421,0.522,0.489,0.35,0.584,0.9,0.044,32,0.406,0.397,0,0,
85,Russell Westbrook,34,2TM,PG,73,24,2126,0.436,11.8,0.711,0.305,0.229,0.103,0.075,0.289,0.487,0.632,0.379,0.461,0.257,0.311,0.23,0.663,0.023,19,0.227,0.231,1,0,6MOY-9
85,Russell Westbrook,34,LAL,PG,52,3,1491,0.417,11.7,0.708,0.31,0.23,0.096,0.071,0.292,0.467,0.624,0.333,0.414,0.288,0.296,0.203,0.635,0.018,11,0.174,0.243,1,0,
85,Russell Westbrook,34,LAC,PG,21,21,635,0.489,11.8,0.721,0.29,0.225,0.122,0.084,0.279,0.54,0.658,0.508,0.563,0.182,0.356,0.294,0.731,0.038,8,0.384,0.214,0,0,
86,Quentin Grimes,22,NYK,SG,71,66,2121,0.468,17.9,0.324,0.248,0.047,0.018,0.012,0.676,0.641,0.745,0.321,0.182,0.429,0.386,0.776,0.994,0.043,24,0.327,0.474,0,0,
87,Kristaps Porziņģis,27,WAS,C,65,65,2120,0.498,14.9,0.65,0.166,0.229,0.163,0.092,0.35,0.559,0.74,0.536,0.494,0.404,0.385,0.622,0.949,0.095,83,0.053,0.526,2,0,
88,Gary Trent Jr.,24,TOR,SG,66,44,2118,0.433,17.6,0.519,0.116,0.128,0.118,0.15,0.481,0.493,0.704,0.475,0.455,0.364,0.369,0.494,0.855,0.024,20,0.176,0.291,0,0,
89,Damian Lillard,32,POR,PG,58,58,2107,0.463,17.5,0.453,0.231,0.103,0.049,0.057,0.547,0.574,0.673,0.452,0.525,0.493,0.371,0.157,0.5,0.012,10,0.058,0.395,2,0,"CPOY-10,AS,NBA3"
90,Ayo Dosunmu,23,CHI,SG,80,51,2098,0.493,11.2,0.668,0.411,0.147,0.07,0.04,0.332,0.583,0.679,0.429,0.5,0.304,0.312,0.55,1,0.018,9,0.466,0.33,0,0,
91,Corey Kispert,23,WAS,SF,74,45,2093,0.497,18.7,0.344,0.179,0.126,0.029,0.009,0.656,0.637,0.762,0.541,0.412,0.2,0.424,0.766,0.982,0.029,15,0.224,0.488,0,0,
92,Malik Beasley,26,2TM,SG,81,27,2093,0.395,20.9,0.298,0.036,0.131,0.073,0.058,0.702,0.484,0.706,0.528,0.353,0.407,0.357,0.511,0.855,0.006,4,0.167,0.373,3,0,
92,Malik Beasley,26,UTA,SG,55,13,1472,0.396,21,0.296,0.028,0.135,0.07,0.063,0.704,0.485,0.632,0.511,0.404,0.452,0.359,0.5,0.817,0.006,2,0.185,0.356,3,0,
92,Malik Beasley,26,LAL,SG,26,14,621,0.392,20.7,0.302,0.056,0.123,0.078,0.045,0.698,0.481,0.8,0.576,0.238,0.25,0.353,0.538,0.955,0.007,2,0.123,0.435,0,0,
93,Caleb Martin,27,MIA,SF,71,49,2077,0.464,14.9,0.569,0.235,0.155,0.049,0.117,0.431,0.545,0.674,0.424,0.481,0.469,0.356,0.588,0.833,0.051,21,0.407,0.302,1,0,
94,Andrew Nembhard,23,IND,SG,75,63,2073,0.441,15.3,0.592,0.169,0.182,0.169,0.068,0.408,0.504,0.716,0.436,0.376,0.455,0.35,0.406,0.902,0.002,1,0.266,0.357,0,0,
95,Keldon Johnson,23,SAS,SF,63,63,2063,0.452,12.7,0.634,0.27,0.27,0.08,0.014,0.366,0.523,0.657,0.455,0.337,0.313,0.329,0.509,0.903,0.022,22,0.226,0.348,2,0,
96,Aaron Gordon,27,DEN,PF,68,68,2055,0.564,8.8,0.773,0.481,0.18,0.063,0.035,0.227,0.628,0.779,0.394,0.292,0.333,0.347,0.618,0.733,0.26,178,0.312,0.259,4,0,
97,Mason Plumlee,32,2TM,C,79,60,2054,0.68,2.5,1,0.707,0.25,0.033,0.01,0,0.68,0.766,0.463,0.5,0.6,,0.657,,0.26,115,,,0,0,
97,Mason Plumlee,32,CHO,C,56,56,1597,0.669,2.8,1,0.697,0.253,0.038,0.013,0,0.669,0.764,0.43,0.533,0.6,,0.623,,0.253,90,,,0,0,
97,Mason Plumlee,32,LAC,C,23,4,457,0.727,2.2,1,0.75,0.239,0.011,0,0,0.727,0.773,0.619,0,,,0.797,,0.295,25,,,0,0,
98,Grant Williams,24,BOS,PF,79,23,2045,0.454,17.2,0.389,0.137,0.197,0.046,0.006,0.611,0.546,0.738,0.468,0.364,0.333,0.395,0.594,0.922,0.032,15,0.416,0.421,2,0,
99,Deandre Ayton,24,PHO,C,67,67,2035,0.589,7.7,0.973,0.313,0.352,0.223,0.085,0.027,0.597,0.806,0.532,0.455,0.467,0.292,0.792,0.857,0.131,110,0,,0,0,
100,Mike Conley,35,2TM,PG,67,66,2029,0.428,18.1,0.425,0.084,0.203,0.108,0.03,0.575,0.486,0.608,0.427,0.5,0.5,0.385,0.381,0.696,0,0,0.157,0.545,2,0,
100,Mike Conley,35,UTA,PG,43,42,1276,0.408,18,0.432,0.085,0.216,0.099,0.032,0.568,0.469,0.531,0.469,0.459,0.333,0.362,0.368,0.636,0,0,0.136,0.586,2,0,
100,Mike Conley,35,MIN,PG,24,24,753,0.46,18.3,0.413,0.081,0.183,0.123,0.026,0.587,0.515,0.737,0.349,0.552,0.833,0.42,0.4,0.776,0,0,0.188,0.5,0,0,
101,Giannis Antetokounmpo,28,MIL,PF,63,63,2024,0.553,8.1,0.866,0.48,0.212,0.091,0.084,0.134,0.596,0.791,0.354,0.353,0.355,0.275,0.415,0.617,0.166,198,0.023,0.25,0,0,"MVP-3,DPOY-6,AS,NBA1"
102,Kevin Porter Jr.,22,HOU,PG,59,59,2024,0.442,15.7,0.564,0.153,0.221,0.115,0.076,0.436,0.501,0.711,0.385,0.461,0.478,0.366,0.18,0.525,0.054,41,0.117,0.489,1,0,
